"day";"fixprice";"flexprice";
01;9.81;6.14;
02;6.21;6.78;
03;17.27;17.31;
04;15.83;18.14;
05;9.31;9.03;
06;4.97;3.67;
07;9.15;7.34;
08;7.28;7.81;
09;5.76;6.60;
10;10.22;11.33;
11;8.48;9.01;
12;5.80;6.37;
13;8.50;10.13;
14;11.11;12.97;
15;12.92;19.00;
16;12.18;16.27;
17;12.45;16.05;
18;0.00;0.00;
19;0.00;0.00;
20;0.00;0.00;
21;0.00;0.00;
22;0.00;0.00;
23;0.00;0.00;
24;0.00;0.00;
25;0.00;0.00;
26;0.00;0.00;
27;0.00;0.00;
28;0.00;0.00;
29;0.00;0.00;
30;0.00;0.00;
31;0.00;0.00;
